Financial Times,,,ft.com,financial-times,Yes,No
The Guardian,,,theguardian.com,,Yes,No
The Sun,Newspaper,,thesun.co.uk,,Yes,Yes
Metro,British newspaper,,metro.co.uk,metro,Yes,Yes
Daily Express,,Sunday Express,express.co.uk,,Yes,Yes
Daily Mail,,,dailymail.co.uk,daily-mail,Yes,Yes
Daily Mirror,,,mirror.co.uk,mirror,Yes,Yes
London Evening Standard,,,standard.co.uk,,Yes,Yes
The Daily Telegraph,,,telegraph.co.uk,the-telegraph,Yes,Yes
The Times,,,thetimes.co.uk,,Yes,Yes
Daily Star,,,dailystar.co.uk,,Yes,Yes
i,Newspaper,,inews.co.uk,,Yes,Yes
Daily Record,Scotland,,dailyrecord.co.uk,,Yes,Yes
City A.M.,,,cityam.com,,Yes,Yes
The Independent,,,independent.co.uk,independent,Yes,Yes
The New European,,,theneweuropean.co.uk,,Yes,Yes
